cluster_id	rm_classification	repeat_class	repeat_subclass	repeat_order	repeat_superfamily	repeat_family	average	median	minimum	maximum	standard_deviation	iqr	num_alignments	species	mean_insertion_length	insertion_count	total_genome_bp_cluster	total_genome_percent_cluster
Cluster2245	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.492	14.235	1.1	22.7	6.07990094948557	6.1125	10	inopinata	132.667	9	847	0.00068865
Cluster2246	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	0	0	0	0	NA	0	1	inopinata	862	1	862	0.000700845
Cluster2248	LINE-RTE-RTE	I	NA	LINE	RTE	NA	11.6092307692308	12.05	0	15.31	3.76763953853174	1.23	13	inopinata	99	7	687	0.000558562
Cluster2249	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	9.792	4.5	4.19	31.58	12.1808484926133	0.31	5	inopinata	108.667	3	324	0.000263427
Cluster2250	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	15.1116666666667	15.565	0	28.85	9.34308175425361	4.81	6	inopinata	188.333	6	1130	0.000918742
Cluster2253	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	22.4037037037037	22.25	0	41.32	8.99806353019622	5.765	27	inopinata	420	22	9108	0.00740522
Cluster2255	LINE-RTE-RTE	I	NA	LINE	RTE	NA	12.53	12.53	0	25.06	17.7200959365349	12.53	2	inopinata	258	2	516	0.000419532
Cluster225	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	8.9	8.9	0	17.8	12.5865007051205	8.9	2	inopinata	446	2	864	0.000702471
Cluster2260	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	15.460447761194	9.49	0	44.72	11.5587052677701	17.6475	134	inopinata	208.072	111	20768	0.0168853
Cluster2264	LTR-Gypsy	I	NA	LTR	Gypsy	NA	11.73	11.73	11.73	11.73	0	0	2	inopinata	47	1	42	3.41479e-05
Cluster2265	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	38.8161764705882	39.78	34.17	43.84	2.56963623732171	3.3925	34	inopinata	247.714	21	2981	0.00242369
Cluster2267	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	26.523829787234	26.925	12.05	43.52	4.5709095518617	6.2875	188	inopinata	396.473	169	64104	0.0521195
Cluster2269	SINE-ID	I	NA	SINE	tRNA	ID	7.211875	3.6	1.28	18.38	6.15917117665464	11.6025	16	inopinata	79.8	15	1196	0.000972403
Cluster226	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	inopinata	736	1	736	0.000598402
Cluster2272	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	40.61	40.61	40.61	40.61	NA	0	1	inopinata	159	1	159	0.000129274
Cluster2274	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	8.92596153846154	8.095	2.94	23.29	3.37866910775059	3.7925	52	inopinata	294.143	35	9931	0.00807436
Cluster2278	Unknown	NA	NA	NA	NA	NA	20.522	22.29	9.78	27.06	7.18910773323088	9.22	5	inopinata	69.6	5	348	0.00028294
Cluster227	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	14.97	14	1.64	30.24	13.6790886636013	20.08	4	inopinata	197	4	787	0.000639867
Cluster2280	DNA-hAT-Ac	II	1	TIR	hAT	Ac	15.1990909090909	17.4	6.12	18.45	3.89867273452249	4.63	11	inopinata	138.2	5	524	0.000426036
Cluster228	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	2.67	2.67	0	5.34	3.77595021153616	2.67	2	inopinata	652	2	1303	0.0010594
Cluster2292	Simple_repeat	Simple_repeat	NA	NA	NA	NA	6.61733333333333	5.325	0	20.09	4.38278042544948	5.02	120	inopinata	104.111	90	6712	0.00545716
Cluster2293	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	11.5666666666667	9.57	1.54	32.26	7.87007049039648	2.73	15	inopinata	266.364	11	2236	0.00181797
Cluster2295	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	21.1075	21.295	8.48	29.23	5.89696859720006	6.085	12	inopinata	81.3333	12	618	0.000502462
Cluster2297	Simple_repeat	Simple_repeat	NA	NA	NA	NA	7.18068181818182	7.52	3.83	19.37	3.20676841285939	5.02	132	inopinata	119.337	92	5918	0.0048116
Cluster2298	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	2.56979591836735	2.565	0	10.19	1.79730551541181	2.12	490	inopinata	152.881	278	38576	0.031364
Cluster2299	DNA-hAT	II	1	TIR	hAT	NA	6.38791666666667	4.77	0	28.91	5.14464809496034	2.8775	144	inopinata	130.417	103	12743	0.0103606
Cluster229	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	7.685	7.685	0	15.37	10.8682312268372	7.685	2	inopinata	345	2	690	0.000561001
Cluster2301	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	7.69947916666667	6.06	1.49	23.73	5.42756383652568	4.8475	96	inopinata	364.422	64	22607	0.0183805
Cluster2303	Unknown	NA	NA	NA	NA	NA	5.64788732394366	4.98	1.17	13.58	2.9334377275491	4.42	71	inopinata	164	64	10414	0.00846706
Cluster2307	Unknown	NA	NA	NA	NA	NA	3.11944444444444	2.27	0	9.52	2.70495726229633	1.94	18	inopinata	53.7692	13	618	0.000502462
Cluster2308	Unknown	NA	NA	NA	NA	NA	22.394	22.6	2.9	32.26	5.20718060831775	7.1525	90	inopinata	135.205	88	11676	0.00949312
Cluster2309	Unknown	NA	NA	NA	NA	NA	13.406	13.64	4.94	19.92	6.46034673992039	10.13	5	inopinata	73.4	5	367	0.000298388
Cluster230	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	2	2.02	0	4.8	1.07196612056369	1.1	89	inopinata	258.493	71	18209	0.0148047
Cluster2310	Unknown	NA	NA	NA	NA	NA	14.0905109489051	13.35	4.88	26.92	4.23248402956715	4.84	137	inopinata	135.941	102	9984	0.00811745
Cluster2311	RC-Helitron	II	2	Helitron	Helitron	NA	21.48875	24.01	8.56	29.63	6.03429849554472	8.3825	16	inopinata	126.067	15	1890	0.00153666
Cluster2312	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	17.315625	16.7	4.69	31.12	5.44372592845442	7.135	64	inopinata	187.137	51	9284	0.00754832
Cluster2313	DNA-hAT	II	1	TIR	hAT	NA	11.6130174399474	10.31	0.12	29.81	4.97471146804331	5.76	3039	inopinata	257.452	1643	278794	0.226672
Cluster2314	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	21.1211029411765	21.22	2.56	38.63	5.92828695171862	6.3475	136	inopinata	158.106	104	16347	0.0132909
Cluster2316	Unknown	NA	NA	NA	NA	NA	17.7759459459459	18.18	6.81	28.48	4.90275572139421	4.84	37	inopinata	104.538	26	2564	0.00208465
Cluster2317	DNA	II	NA	NA	NA	NA	25.2945416078984	25.26	2.35	43.39	6.8265193437296	7.75	709	inopinata	372.191	299	103399	0.0840681
Cluster2318	Unknown	NA	NA	NA	NA	NA	8.6444	7.6	3.84	22.13	4.53076435788341	2.8	25	inopinata	137.222	18	2363	0.00192123
Cluster2319	DNA-Merlin	II	1	TIR	Merlin	NA	18.5569090909091	18.6	3.71	29.71	5.46248718033152	7.665	55	inopinata	203.643	28	5622	0.00457094
Cluster231	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	8.66625	6.71	3.42	23.09	6.22296883098643	2.31	8	inopinata	280.625	8	1541	0.0012529
Cluster2320	LTR-Gypsy	I	NA	LTR	Gypsy	NA	20.5491071428571	20.775	7.01	34.41	6.14184049311419	9.0925	56	inopinata	610.058	52	31723	0.0257922
Cluster2321	Unknown	NA	NA	NA	NA	NA	6.94926829268293	5.68	1.81	22.83	5.7200106600617	4.42	41	inopinata	103.706	34	3480	0.0028294
Cluster2322	Unknown	NA	NA	NA	NA	NA	17.854328358209	17.5	2.88	29.51	4.10991034930692	5.7175	134	inopinata	168.293	82	12930	0.0105127
Cluster2323	Unknown	NA	NA	NA	NA	NA	21.6231578947368	22.26	11.41	29.89	4.87247376440298	6.09	19	inopinata	104.471	17	1773	0.00144153
Cluster2324	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	6.466	7.04	1.2	9.33	3.37411173496077	3.9	5	inopinata	116.5	4	465	0.000378066
Cluster2325	Unknown	NA	NA	NA	NA	NA	14.9292857142857	15.55	8.31	21.34	3.80524832766074	3.695	14	inopinata	200.929	14	2761	0.00224482
Cluster2327	Unknown	NA	NA	NA	NA	NA	16.7347899159664	16.65	4.69	31.47	4.54112504703172	5.875	119	inopinata	110.394	99	9285	0.00754913
Cluster2328	LINE-RTE-RTE	I	NA	LINE	RTE	NA	20.3164285714286	21.315	7.33	28.65	6.00267546169312	8.34	28	inopinata	270.217	23	5886	0.00478559
Cluster2329	Unknown	NA	NA	NA	NA	NA	22.107027027027	21.78	11.46	33.34	5.41108628694875	6.95	37	inopinata	129.361	36	4620	0.00375627
Cluster232	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	17.5625	23.24	0	23.77	11.7109987476161	5.9425	4	inopinata	406.333	3	1210	0.000983785
Cluster2330	rRNA	rRNA	NA	NA	NA	NA	7.37872	5.84	0	23.13	5.79029234539684	8.34	125	inopinata	634.563	87	54911	0.0446451
Cluster2333	Unknown	NA	NA	NA	NA	NA	18.0385714285714	17.04	8.79	31.06	5.69611414932289	6.9675	28	inopinata	68.3333	24	1606	0.00130575
Cluster2338	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	6.61428571428571	4.24	0	15.69	5.50546695445124	10.31	35	inopinata	902.478	23	20678	0.0168122
Cluster233	LTR-Gypsy	I	NA	LTR	Gypsy	NA	0	0	0	0	NA	0	1	inopinata	910	1	887	0.000721171
Cluster2340	LTR-Gypsy	I	NA	LTR	Gypsy	NA	13.1907692307692	10.57	0	31.04	7.60832970971027	11.88	39	inopinata	455.704	27	11348	0.00922644
Cluster2341	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	9.38340909090909	10.13	0	22.82	7.66478596712106	12.7075	44	inopinata	1213.06	32	38512	0.031312
Cluster2342	LINE-RTE-RTE	I	NA	LINE	RTE	NA	16.314609929078	14.19	0	48.94	8.73266123058638	8.92	141	inopinata	210.626	107	20993	0.0170683
Cluster2343	LINE-RTE-RTE	I	NA	LINE	RTE	NA	18.1352380952381	17.42	0	34.4	7.76049393985178	10.74	21	inopinata	287.526	19	4608	0.00374651
Cluster2344	LTR-Gypsy	I	NA	LTR	Gypsy	NA	12.1254010695187	9.36	0	39.13	6.83651179611678	8.9525	374	inopinata	203.494	237	40022	0.0325397
Cluster2345	LTR-Gypsy	I	NA	LTR	Gypsy	NA	8.9	9.1	0	23.52	7.46298599757497	9.05	11	inopinata	957.9	10	9395	0.00763856
Cluster2346	LINE-RTE-RTE	I	NA	LINE	RTE	NA	14.6843518518519	13.195	0	38.54	8.37255611134736	7.14	108	inopinata	356.405	79	26848	0.0218286
Cluster2347	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	19.6989573459716	20.54	0	53.24	11.1811978550278	20.6225	1266	inopinata	339.414	859	279454	0.227209
Cluster2348	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	11.2916949152542	13.34	0	30.05	5.42645281755776	8.865	59	inopinata	540.333	33	17501	0.0142291
Cluster2349	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	10.5567142857143	6.92	0	48.08	11.358783069314	4.1325	70	inopinata	725.244	45	31440	0.0255622
Cluster234	LINE-RTE-RTE	I	NA	LINE	RTE	NA	2.9875	1.78	0.8	9.76	2.65639620340673	2.6425	20	inopinata	360.333	12	4254	0.0034587
Cluster2350	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	10.2444444444444	11.06	0	16.35	3.93812463502942	5.195	27	inopinata	689.692	13	8698	0.00707187
Cluster2351	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.2030535499398	11.06	0	48.47	8.33064492888919	10.6975	3324	inopinata	212.832	2126	363439	0.295492
Cluster2352	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	10.9346666666667	14.64	0	26.6	9.73786267739536	18.13	15	inopinata	1387.73	11	15081	0.0122615
Cluster2353	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	14.8526229508197	17.45	0	28.62	7.63526749185195	8.27	61	inopinata	622.51	49	29816	0.0242418
Cluster2354	LTR-Gypsy	I	NA	LTR	Gypsy	NA	0.315	0.315	0	0.63	0.445477272147525	0.315	2	inopinata	4878	2	9755	0.00793126
Cluster2355	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	11.6395238095238	10.25	0	23.36	6.55887297955257	10.36	21	inopinata	371.933	15	5438	0.00442134
Cluster2356	LINE-RTE-RTE	I	NA	LINE	RTE	NA	14.8580811662727	14.15	0	46.3	7.91536901700213	10.5025	2538	inopinata	125.584	1836	187447	0.152403
Cluster2357	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	7.92914285714286	5.67	0	22.22	6.60676719531642	9.515	35	inopinata	902.957	23	20707	0.0168357
Cluster2358	LTR-Gypsy	I	NA	LTR	Gypsy	NA	7.296	5.09	0	17.69	6.66442162198308	10.53	10	inopinata	526.5	8	4106	0.00333837
Cluster2360	LTR-Gypsy	I	NA	LTR	Gypsy	NA	9.74366666666667	10	0	24.95	7.44855064973107	7.0525	30	inopinata	362.136	22	7577	0.00616045
Cluster2361	LTR-Gypsy	I	NA	LTR	Gypsy	NA	2.46333333333333	0	0	7.39	4.26661848931133	3.695	3	inopinata	2184.5	2	4366	0.00354976
Cluster2362	LTR-Gypsy	I	NA	LTR	Gypsy	NA	17.1282352941176	17.19	0	28.54	9.73633544723971	18.68	17	inopinata	470.818	11	5171	0.00420426
Cluster2363	RC-Helitron	II	2	Helitron	Helitron	NA	12.2301799485861	11.59	0	43.09	3.67417448320801	4.39	2334	inopinata	146.947	433	55407	0.0450484
Cluster2364	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	15.9841860465116	13.78	0	28.02	6.94019940449022	9.875	43	inopinata	499.567	30	14696	0.0119485
Cluster2365	LTR-Gypsy	I	NA	LTR	Gypsy	NA	0	0	0	0	NA	0	1	inopinata	7380	1	7380	0.00600028
Cluster2366	LINE-RTE-RTE	I	NA	LINE	RTE	NA	21.3594	20.805	0	40.15	8.50252830134376	11.4075	100	inopinata	194.014	74	13490	0.010968
Cluster2368	LTR-Gypsy	I	NA	LTR	Gypsy	NA	10.7953333333333	13.7	0	20.83	6.40244134983642	7.02	15	inopinata	1688.18	11	18533	0.0150682
Cluster2369	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	inopinata	418	1	418	0.000339853
Cluster2370	LTR-Gypsy	I	NA	LTR	Gypsy	NA	16.5471428571429	16.1	9.43	23.07	4.81584092444132	6.045	7	inopinata	124.143	7	851	0.000691902
Cluster2371	DNA-hAT-Restless	II	1	TIR	hAT	Restless	0	0	0	0	NA	0	1	inopinata	217	1	217	0.000176431
Cluster2372	LINE-CR1	I	NA	LINE	Jockey	CR1	22.0241666666667	22.23	0	35.98	8.94112506479148	2.09	12	inopinata	311.889	9	2417	0.00196513
Cluster2374	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	6.16	6.16	4.98	7.34	1.66877200360025	1.18	2	inopinata	226.5	2	453	0.00036831
Cluster2375	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	27.70875	31.325	0	39.18	13.5574285778261	15.94	8	inopinata	306.8	5	1506	0.00122445
Cluster2376	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	15.4377777777778	14.93	0	26.16	7.35025642031926	6.32	9	inopinata	194.625	8	1514	0.00123095
Cluster2377	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	8.88391304347826	8.84	2.77	25.14	4.36973032154205	4.27	23	inopinata	223.529	17	3641	0.0029603
Cluster2378	LINE-L2	I	NA	LINE	Jockey	L2	0	0	0	0	0	0	2	inopinata	487	1	486	0.00039514
Cluster2381	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	12.33	12.33	0	24.66	17.4372532240603	12.33	2	inopinata	215	2	430	0.00034961
Cluster2383	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	14.465	14.465	12.2	16.73	3.20319371877506	2.265	2	inopinata	100.5	2	168	0.000136592
Cluster2384	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	17.6333333333333	24.69	0	28.21	15.3720016046491	14.105	3	inopinata	606.333	3	1818	0.00147812
Cluster2386	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	3.56	3.56	2.54	4.58	1.11735401731054	2.04	6	inopinata	159	2	278	0.000226027
Cluster2387	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	inopinata	391	1	314	0.000255296
Cluster2388	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	20.72	20.72	20.72	20.72	NA	0	1	inopinata	110	1	92	7.48002e-05
Cluster2389	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	6.18448577680525	4.96	0	22.74	4.4885899231446	4.81	1371	inopinata	122.493	897	83189	0.0676365
Cluster238	LTR-Gypsy	I	NA	LTR	Gypsy	NA	10.4275	11.6	3.38	15.13	5.7576637333789	8.2325	4	inopinata	533.667	3	1597	0.00129843
Cluster2391	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	19.5625	19.22	0	33.2	9.03552194497816	8.07	12	inopinata	316.4	10	2734	0.00222287
Cluster2392	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	20.0228571428571	24.61	0	27.88	10.0285520960335	9.505	7	inopinata	476	7	3296	0.0026798
Cluster2393	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.2888461538462	13.64	0	33.53	6.36073538322297	4.42	26	inopinata	292.773	22	6300	0.00512219
Cluster2394	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	0	0	0	0	NA	0	1	inopinata	289	1	289	0.00023497
Cluster2395	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	26.993	29.115	0	33.12	7.3205551270666	5.6675	20	inopinata	212.25	16	2659	0.00216189
Cluster2396	DNA-hAT-Ac	II	1	TIR	hAT	Ac	7.07125	2.33	1.03	41.71	14.0190619591428	1.3975	8	inopinata	806.125	8	6449	0.00524333
Cluster2397	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	inopinata	1057	1	1057	0.000859389
Cluster2398	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	0	0	0	0	NA	0	1	inopinata	302	1	301	0.000244727
Cluster2399	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	24.0033333333333	25.06	0	44.45	9.05905114746063	7.11	27	inopinata	288.348	23	6390	0.00519536
Cluster239	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	12.58	12.58	12.58	12.58	NA	0	1	inopinata	290	1	290	0.000235783
Cluster2400	LINE-RTE-RTE	I	NA	LINE	RTE	NA	0	0	0	0	NA	0	1	inopinata	277	1	274	0.000222775
Cluster2401	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	4.03	4.03	4.03	4.03	NA	0	1	inopinata	204	1	204	0.000165861
Cluster2402	LTR-Gypsy	I	NA	LTR	Gypsy	NA	18.5571428571429	21.61	0	27.16	8.75907855558204	4.385	7	inopinata	162.4	5	675	0.000548806
Cluster2403	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	11.948	12.7	2.08	16.13	5.77682179056962	3.43	5	inopinata	265.667	3	670	0.000544741
Cluster2404	DNA-hAT	II	1	TIR	hAT	NA	12.2264197530864	11.26	0	32.08	6.67562044094816	7.4	81	inopinata	88.8036	56	3053	0.00248223
Cluster2405	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	inopinata	372	1	372	0.000302453
Cluster2406	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	0	0	0	0	NA	0	1	inopinata	223.5	2	446	0.000362618
Cluster2407	DNA-hAT	II	1	TIR	hAT	NA	14.87	14.87	0	29.74	21.0293556724879	14.87	2	inopinata	449	2	898	0.000730115
Cluster2408	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	28.24	28.24	28.24	28.24	0	0	2	inopinata	79	1	78	6.34176e-05
Cluster2409	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	28.5628571428571	33.71	0	39.07	13.4376780165396	9.07	7	inopinata	279.286	7	1865	0.00151633
Cluster2411	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.655	13.655	0	27.31	19.3110861942046	13.655	2	inopinata	133	2	266	0.00021627
Cluster2413	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	25.75	25.75	25.75	25.75	NA	0	1	inopinata	129	1	129	0.000104883
Cluster2414	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.735	10.57	4.55	34.19	10.5071589880424	4.3725	6	inopinata	149	5	695	0.000565067
Cluster2415	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.71	20.42	0	20.71	11.8740936496223	10.355	3	inopinata	240.667	3	694	0.000564254
Cluster2416	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	22.2291304347826	23.31	0	29.15	5.97475668051046	3.425	23	inopinata	498.55	20	9692	0.00788004
Cluster2417	DNA-hAT	II	1	TIR	hAT	NA	9.97666666666667	10.89	0	13.89	5.15036568280998	2.9875	6	inopinata	429.5	4	1690	0.00137405
Cluster2418	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	17.715	19.35	0	32.16	13.2643092545372	8.04	4	inopinata	325.333	3	910	0.000739872
Cluster2419	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	11.89	11.89	0	23.78	13.7293894013293	23.78	4	inopinata	278.667	3	822	0.000668324
Cluster2420	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	inopinata	1209	1	1209	0.000982972
Cluster2421	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	27.11	27.11	23.32	30.9	4.37631504045736	7.58	4	inopinata	109	3	286	0.000232531
Cluster2423	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	22.4507692307692	22.41	0	33.33	8.73964383478951	10.89	13	inopinata	339.692	13	4163	0.00338471
Cluster2425	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	NA	0	1	inopinata	235	1	235	0.000191066
Cluster2426	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	15.47	15.47	15.47	15.47	NA	0	1	inopinata	212	1	212	0.000172366
Cluster2429	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	18.425	18.975	0	25.95	4.51228620109179	6.02	72	inopinata	67.2549	51	2814	0.00228791
Cluster242	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	8.99666666666667	8.97	2.69	15.33	6.32004219395198	6.32	3	inopinata	261	3	782	0.000635802
Cluster2430	LINE-RTE-RTE	I	NA	LINE	RTE	NA	0	0	0	0	NA	0	1	inopinata	359	1	359	0.000291883
Cluster2431	RC-Helitron	II	2	Helitron	Helitron	NA	6.0625	3.34	1.79	15.78	6.64111122729723	5.8225	4	inopinata	303.333	3	904	0.000734993
Cluster2432	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	2.31	2.31	0	4.62	3.26683332908185	2.31	2	inopinata	292	2	584	0.000474819
Cluster2433	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	17.9166666666667	8.95	5.48	39.2	16.6575024138274	26.575	6	inopinata	62	5	273	0.000221961
Cluster2434	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	7.77	7.77	2	13.54	8.16001225489276	5.77	2	inopinata	295.5	2	575	0.000467501
Cluster2435	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	20.4	20.4	20.4	20.4	NA	0	1	inopinata	160	1	160	0.000130087
Cluster2436	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	6.36666666666667	9.55	0	9.55	5.51369507076093	4.775	3	inopinata	264.5	2	528	0.000429288
Cluster2438	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	16.0279487179487	16.135	5.98	33.07	3.43699859964466	2.0875	78	inopinata	634.767	60	36604	0.0297607
Cluster2439	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	1.65	1.65	0	3.3	2.33345237791561	1.65	2	inopinata	440.5	2	881	0.000716293
Cluster243	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	3.75611111111111	2.21	0.84	44.41	7.10434405448134	1.0225	36	inopinata	556.677	31	16611	0.0135055
Cluster2441	Simple_repeat	Simple_repeat	NA	NA	NA	NA	31.09	31.09	31.09	31.09	NA	0	1	inopinata	116	1	116	9.43133e-05
Cluster2445	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	20.81	20.81	20.81	20.81	NA	0	1	inopinata	62	1	18	1.46348e-05
Cluster2447	SINE_q	I	NA	SINE	NA	NA	4.06566666666667	2.96	0	21.5	4.93259579373455	3.7775	30	inopinata	73.52	25	1825	0.00148381
Cluster244	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	13.8733333333333	13.59	13.59	14.44	0.490747728811182	0.425000000000001	3	inopinata	75.5	2	123	0.000100005
Cluster2451	DNA-Sola	II	1	TIR	Sola	NA	43.79	43.79	43.79	43.79	NA	0	1	inopinata	296	1	296	0.000240662
Cluster2459	DNA-TcMar-Tc2	II	1	TIR	Tc1-Mariner	Tc2	34.4965891472868	34.86	22.57	45.86	5.23405651958343	7.89	129	inopinata	65.4691	81	4261	0.00346439
Cluster245	DNA-TcMar-m44	II	1	TIR	Tc1-Mariner	m44	0	0	0	0	0	0	8	inopinata	183.875	8	1471	0.00119599
Cluster2463	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	0	0	0	0	0	0	4	inopinata	27	2	52	4.22784e-05
Cluster2464	DNA-hAT-Ac	II	1	TIR	hAT	Ac	18.185	18.57	15.09	22.33	1.84349173166192	1.26	18	inopinata	190.75	4	668	0.000543114
Cluster2465	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	21.8927272727273	18.44	6.07	34.89	9.20134239218288	13.295	11	inopinata	143.5	6	691	0.000561815
Cluster246	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	4.35	4.35	4.35	4.35	NA	0	1	inopinata	195	1	195	0.000158544
Cluster2470	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	13.86	13.86	13.86	13.86	NA	0	1	inopinata	51	1	36	2.92696e-05
Cluster2472	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	33.73	33.73	32.42	35.04	1.85261976670875	1.31	2	inopinata	102	1	36	2.92696e-05
Cluster2473	DNA	II	NA	NA	NA	NA	38.6183333333333	38.375	37	40.74	1.22107193345301	0.517499999999998	6	inopinata	264.5	2	529	0.000430101
